"item","age","produces"
"allgone",22,0.713568
"allgone",23,0.802281
"allgone",24,0.820922
"allgone",25,0.809836
"allgone",26,0.871345
"allgone",27,0.841026
"allgone",28,0.940955
"allgone",29,0.873737
"allgone",30,0.932432
"alligator",16,0.0292276
"alligator",17,0.0474453
"alligator",18,0.0953437
"alligator",19,0.130952
"alligator",20,0.176895
"alligator",21,0.207729
"alligator",22,0.281407
"alligator",23,0.376426
"alligator",24,0.466071
"alligator",25,0.509868
"alligator",26,0.611765
"alligator",27,0.579487
"alligator",28,0.798995
"alligator",29,0.717172
"alligator",30,0.790541
"am",16,0.00417537
"am",17,0.00364964
"am",18,0.0177384
"am",19,0.0386905
"am",20,0.0469314
"am",21,0.0724638
"am",22,0.110553
"am",23,0.1673
"am",24,0.194946
"am",25,0.230263
"am",26,0.347059
"am",27,0.402062
"am",28,0.483668
"am",29,0.469697
"am",30,0.581081
"an",16,0.00313152
"an",17,0
"an",18,0.00221729
"an",19,0.0119048
"an",20,0.0144404
"an",21,0.0144928
"an",22,0.0351759
"an",23,0.0456274
"an",24,0.0490018
"an",25,0.0927152
"an",26,0.146199
"an",27,0.149485
"an",28,0.167085
"an",29,0.186869
"an",30,0.246622
"and",16,0.0104384
"and",17,0.0109489
"and",18,0.0199557
"and",19,0.0625
"and",20,0.0722022
"and",21,0.0869565
"and",22,0.180905
"and",23,0.285171
"and",24,0.320721
"and",25,0.369637
"and",26,0.450292
"and",27,0.502564
"and",28,0.644472
"and",29,0.616162
"and",30,0.719595
"animal",16,0.0542797
"animal",17,0.0656934
"animal",18,0.141907
"animal",19,0.22619
"animal",20,0.252708
"animal",21,0.299517
"animal",22,0.442211
"animal",23,0.498099
"animal",24,0.559715
"animal",25,0.554098
"animal",26,0.654971
"animal",27,0.697436
"animal",28,0.806533
"animal",29,0.727273
"animal",30,0.831081
"ankle",16,0.00208768
"ankle",17,0.0109489
"ankle",18,0.037694
"ankle",19,0.0684524
"ankle",20,0.0866426
"ankle",21,0.120773
"ankle",22,0.115578
"ankle",23,0.18251
"ankle",24,0.191682
"ankle",25,0.256579
"ankle",26,0.28655
"ankle",27,0.297436
"ankle",28,0.488693
"ankle",29,0.363636
"ankle",30,0.503378
"another",16,0.0135699
"another",17,0.0109489
"another",18,0.0443459
"another",19,0.0714286
"another",20,0.0649819
"another",21,0.0724638
"another",22,0.19598
"another",23,0.193916
"another",24,0.267986
"another",25,0.342105
"another",26,0.432749
"another",27,0.371134
"another",28,0.571608
"another",29,0.520202
"another",30,0.628378
"ant",16,0.0501044
"ant",17,0.0656934
"ant",18,0.155211
"ant",19,0.199405
"ant",20,0.259928
"ant",21,0.241546
"ant",22,0.346734
"ant",23,0.444867
"ant",24,0.498208
"ant",25,0.5625
"ant",26,0.643275
"ant",27,0.661538
"ant",28,0.785176
"ant",29,0.70202
"ant",30,0.841216
"any",16,0.00417537
"any",17,0
"any",18,0.00665188
"any",19,0.0267857
"any",20,0.0252708
"any",21,0.0289855
"any",22,0.0904523
"any",23,0.0988593
"any",24,0.155797
"any",25,0.215232
"any",26,0.339181
"any",27,0.340206
"any",28,0.438442
"any",29,0.439394
"any",30,0.533784
"apple",16,0.325678
"apple",17,0.427007
"apple",18,0.569845
"apple",19,0.626113
"apple",20,0.676259
"apple",21,0.714976
"apple",22,0.854271
"apple",23,0.885932
"apple",24,0.870796
"apple",25,0.899351
"apple",26,0.918129
"apple",27,0.948718
"apple",28,0.979899
"apple",29,0.949495
"apple",30,0.972973
"applesauce",16,0.0490605
"applesauce",17,0.0474453
"applesauce",18,0.141907
"applesauce",19,0.145833
"applesauce",20,0.227437
"applesauce",21,0.275362
"applesauce",22,0.386935
"applesauce",23,0.452471
"applesauce",24,0.489247
"applesauce",25,0.504918
"applesauce",26,0.535294
"applesauce",27,0.569231
"applesauce",28,0.731156
"applesauce",29,0.646465
"applesauce",30,0.841216
"are",16,0.00417537
"are",17,0
"are",18,0.00665188
"are",19,0.0178571
"are",20,0.0361011
"are",21,0.0434783
"are",22,0.0753769
"are",23,0.114068
"are",24,0.17148
"are",25,0.20132
"are",26,0.288235
"are",27,0.298969
"are",28,0.452261
"are",29,0.39899
"are",30,0.574324
"arm",16,0.0793319
"arm",17,0.182482
"arm",18,0.24612
"arm",19,0.366071
"arm",20,0.382671
"arm",21,0.502415
"arm",22,0.572864
"arm",23,0.703422
"arm",24,0.720354
"arm",25,0.764706
"arm",26,0.812865
"arm",27,0.810256
"arm",28,0.932161
"arm",29,0.888889
"arm",30,0.959459
"around",16,0.00626305
"around",17,0.00729927
"around",18,0.0243902
"around",19,0.0327381
"around",20,0.0541516
"around",21,0.0434783
"around",22,0.080402
"around",23,0.171103
"around",24,0.180505
"around",25,0.280528
"around",26,0.315789
"around",27,0.293814
"around",28,0.451005
"around",29,0.414141
"around",30,0.506757
"asleep",16,0.0302714
"asleep",17,0.0620438
"asleep",18,0.10643
"asleep",19,0.190476
"asleep",20,0.223827
"asleep",21,0.246377
"asleep",22,0.40201
"asleep",23,0.467681
"asleep",24,0.543828
"asleep",25,0.596721
"asleep",26,0.625731
"asleep",27,0.569231
"asleep",28,0.795226
"asleep",29,0.747475
"asleep",30,0.85473
"at",16,0.0104384
"at",17,0.0218978
"at",18,0.0332594
"at",19,0.0357143
"at",20,0.0719424
"at",21,0.101449
"at",22,0.190955
"at",23,0.209125
"at",24,0.229656
"at",25,0.273927
"at",26,0.421053
"at",27,0.420513
"at",28,0.547739
"at",29,0.510101
"at",30,0.611486
"aunt",16,0.0553236
"aunt",17,0.0839416
"aunt",18,0.144124
"aunt",19,0.148368
"aunt",20,0.180505
"aunt",21,0.183575
"aunt",22,0.351759
"aunt",23,0.361217
"aunt",24,0.445438
"aunt",25,0.509804
"aunt",26,0.567251
"aunt",27,0.615385
"aunt",28,0.718593
"aunt",29,0.646465
"aunt",30,0.716216
"awake",16,0.00730689
"awake",17,0.0255474
"awake",18,0.0532151
"awake",19,0.110119
"awake",20,0.119134
"awake",21,0.202899
"awake",22,0.301508
"awake",23,0.353612
"awake",24,0.402504
"awake",25,0.493464
"awake",26,0.567251
"awake",27,0.530928
"awake",28,0.731156
"awake",29,0.676768
"awake",30,0.804054
"away",16,0.0156576
"away",17,0.0109489
"away",18,0.0620843
"away",19,0.077381
"away",20,0.0974729
"away",21,0.120773
"away",22,0.241206
"away",23,0.288973
"away",24,0.346499
"away",25,0.429508
"away",26,0.491228
"away",27,0.494845
"away",28,0.668342
"away",29,0.575758
"away",30,0.679054
"baa_baa",16,0.467641
"baa_baa",17,0.569343
"baa_baa",18,0.607539
"baa_baa",19,0.682493
"baa_baa",20,0.705036
"baa_baa",21,0.623188
"baa_baa",22,0.778894
"baa_baa",23,0.768061
"baa_baa",24,0.792553
"baa_baa",25,0.821429
"baa_baa",26,0.829412
"baa_baa",27,0.820513
"baa_baa",28,0.899497
"baa_baa",29,0.858586
"baa_baa",30,0.918919
"baby",16,0.528184
"baby",17,0.594891
"baby",18,0.731707
"baby",19,0.756677
"baby",20,0.816547
"baby",21,0.835749
"baby",22,0.874372
"baby",23,0.931559
"baby",24,0.911504
"baby",25,0.941558
"baby",26,0.97076
"baby",27,0.923077
"baby",28,0.977387
"baby",29,0.964646
"baby",30,0.972973
"babysitter",16,0.00521921
"babysitter",17,0
"babysitter",18,0.0133038
"babysitter",19,0.0208333
"babysitter",20,0.0288809
"babysitter",21,0.0193237
"babysitter",22,0.080402
"babysitter",23,0.140684
"babysitter",24,0.117329
"babysitter",25,0.15894
"babysitter",26,0.182353
"babysitter",27,0.257732
"babysitter",28,0.339196
"babysitter",29,0.292929
"babysitter",30,0.378378
"babysitter_name",16,0.189979
"babysitter_name",17,0.19708
"babysitter_name",18,0.24612
"babysitter_name",19,0.296736
"babysitter_name",20,0.305755
"babysitter_name",21,0.323671
"babysitter_name",22,0.407035
"babysitter_name",23,0.456274
"babysitter_name",24,0.483813
"babysitter_name",25,0.490132
"babysitter_name",26,0.602339
"babysitter_name",27,0.610256
"babysitter_name",28,0.679648
"babysitter_name",29,0.590909
"babysitter_name",30,0.712838
"back",16,0.045929
"back",17,0.0437956
"back",18,0.0997783
"back",19,0.139881
"back",20,0.158845
"back",21,0.154589
"back",22,0.311558
"back",23,0.391635
"back",24,0.389587
"back",25,0.457516
"back",26,0.532164
"back",27,0.538462
"back",28,0.689698
"back",29,0.646465
"back",30,0.780405
"backyard",16,0.0240084
"backyard",17,0.0109489
"backyard",18,0.0620843
"backyard",19,0.0892857
"backyard",20,0.111913
"backyard",21,0.149758
"backyard",22,0.236181
"backyard",23,0.258555
"backyard",24,0.334532
"backyard",25,0.376238
"backyard",26,0.479532
"backyard",27,0.497436
"backyard",28,0.690955
"backyard",29,0.59596
"backyard",30,0.72973
"bad",16,0.0699374
"bad",17,0.0729927
"bad",18,0.133038
"bad",19,0.163205
"bad",20,0.212996
"bad",21,0.285024
"bad",22,0.331658
"bad",23,0.422053
"bad",24,0.508021
"bad",25,0.57377
"bad",26,0.672515
"bad",27,0.584615
"bad",28,0.756281
"bad",29,0.691919
"bad",30,0.834459
"ball",16,0.767223
"ball",17,0.79562
"ball",18,0.898004
"ball",19,0.916914
"ball",20,0.953237
"ball",21,0.932367
"ball",22,0.959799
"ball",23,0.977186
"ball",24,0.962832
"ball",25,0.977273
"ball",26,0.982456
"ball",27,0.979487
"ball",28,0.994975
"ball",29,0.979798
"ball",30,0.993243
"balloon",16,0.471816
"balloon",17,0.39781
"balloon",18,0.603104
"balloon",19,0.657738
"balloon",20,0.68705
"balloon",21,0.700483
"balloon",22,0.80402
"balloon",23,0.847909
"balloon",24,0.874336
"balloon",25,0.899023
"balloon",26,0.912281
"balloon",27,0.94359
"balloon",28,0.976131
"balloon",29,0.929293
"balloon",30,0.97973
"banana",16,0.516701
"banana",17,0.554745
"banana",18,0.654102
"banana",19,0.727003
"banana",20,0.751799
"banana",21,0.763285
"banana",22,0.869347
"banana",23,0.901141
"banana",24,0.872566
"banana",25,0.915584
"banana",26,0.918129
"banana",27,0.933333
"banana",28,0.979899
"banana",29,0.939394
"banana",30,0.972973
"basement",16,0.00730689
"basement",17,0.00729927
"basement",18,0.0155211
"basement",19,0.0267857
"basement",20,0.0433213
"basement",21,0.0772947
"basement",22,0.105528
"basement",23,0.140684
"basement",24,0.126126
"basement",25,0.184211
"basement",26,0.204678
"basement",27,0.262887
"basement",28,0.275126
"basement",29,0.217172
"basement",30,0.243243
"basket",16,0.0313152
"basket",17,0.0547445
"basket",18,0.13969
"basket",19,0.175595
"basket",20,0.191336
"basket",21,0.246377
"basket",22,0.326633
"basket",23,0.39924
"basket",24,0.468582
"basket",25,0.511551
"basket",26,0.596491
"basket",27,0.592784
"basket",28,0.762563
"basket",29,0.666667
"basket",30,0.820946
"bat",16,0.0615866
"bat",17,0.0693431
"bat",18,0.133038
"bat",19,0.184524
"bat",20,0.176895
"bat",21,0.236715
"bat",22,0.296482
"bat",23,0.38403
"bat",24,0.415468
"bat",25,0.485149
"bat",26,0.541176
"bat",27,0.520619
"bat",28,0.757538
"bat",29,0.621212
"bat",30,0.706081
"bath",16,0.356994
"bath",17,0.448905
"bath",18,0.567627
"bath",19,0.632047
"bath",20,0.669065
"bath",21,0.700483
"bath",22,0.824121
"bath",23,0.847909
"bath",24,0.843972
"bath",25,0.86645
"bath",26,0.94152
"bath",27,0.897436
"bath",28,0.972362
"bath",29,0.934343
"bath",30,0.969595
"bathroom",16,0.0448852
"bathroom",17,0.0583942
"bathroom",18,0.16408
"bathroom",19,0.229167
"bathroom",20,0.285199
"bathroom",21,0.338164
"bathroom",22,0.497487
"bathroom",23,0.543726
"bathroom",24,0.587611
"bathroom",25,0.680921
"bathroom",26,0.719298
"bathroom",27,0.733333
"bathroom",28,0.876884
"bathroom",29,0.828283
"bathroom",30,0.915541
"bathtub",16,0.158664
"bathtub",17,0.160584
"bathtub",18,0.305987
"bathtub",19,0.354167
"bathtub",20,0.389892
"bathtub",21,0.425121
"bathtub",22,0.567839
"bathtub",23,0.623574
"bathtub",24,0.64476
"bathtub",25,0.699346
"bathtub",26,0.812865
"bathtub",27,0.789744
"bathtub",28,0.889447
"bathtub",29,0.787879
"bathtub",30,0.929054
"be",16,0.00835073
"be",17,0.0182482
"be",18,0.00886918
"be",19,0.0327381
"be",20,0.0467626
"be",21,0.0628019
"be",22,0.0904523
"be",23,0.144487
"be",24,0.152174
"be",25,0.20132
"be",26,0.309942
"be",27,0.298969
"be",28,0.384422
"be",29,0.373737
"be",30,0.466216
"beach",16,0.045929
"beach",17,0.0328467
"beach",18,0.0643016
"beach",19,0.154303
"beach",20,0.187726
"beach",21,0.198068
"beach",22,0.276382
"beach",23,0.296578
"beach",24,0.292948
"beach",25,0.421053
"beach",26,0.491228
"beach",27,0.597938
"beach",28,0.678392
"beach",29,0.590909
"beach",30,0.706081
"beads",16,0.0542797
"beads",17,0.0583942
"beads",18,0.0909091
"beads",19,0.119048
"beads",20,0.151625
"beads",21,0.173913
"beads",22,0.20603
"beads",23,0.269962
"beads",24,0.285714
"beads",25,0.306931
"beads",26,0.321637
"beads",27,0.304124
"beads",28,0.493719
"beads",29,0.434343
"beads",30,0.574324
"beans",16,0.0741127
"beans",17,0.0948905
"beans",18,0.208426
"beans",19,0.264881
"beans",20,0.277978
"beans",21,0.381643
"beans",22,0.407035
"beans",23,0.452471
"beans",24,0.513417
"beans",25,0.514754
"beans",26,0.672515
"beans",27,0.620513
"beans",28,0.778894
"beans",29,0.616162
"beans",30,0.820946
"bear",16,0.335073
"bear",17,0.343066
"bear",18,0.498891
"bear",19,0.571429
"bear",20,0.604317
"bear",21,0.608696
"bear",22,0.688442
"bear",23,0.779468
"bear",24,0.791815
"bear",25,0.814332
"bear",26,0.859649
"bear",27,0.85641
"bear",28,0.947236
"bear",29,0.883838
"bear",30,0.952703
"because",16,0.00208768
"because",17,0
"because",18,0.00886918
"because",19,0.0208333
"because",20,0.0288809
"because",21,0.0386473
"because",22,0.105528
"because",23,0.136882
"because",24,0.115942
"because",25,0.155629
"because",26,0.264706
"because",27,0.304124
"because",28,0.36809
"because",29,0.419192
"because",30,0.493243
"bed",16,0.113779
"bed",17,0.20438
"bed",18,0.370288
"bed",19,0.440476
"bed",20,0.534296
"bed",21,0.584541
"bed",22,0.678392
"bed",23,0.790875
"bed",24,0.80885
"bed",25,0.859935
"bed",26,0.836257
"bed",27,0.907692
"bed",28,0.959799
"bed",29,0.914141
"bed",30,0.966216
"bedroom",16,0.0240084
"bedroom",17,0.0364964
"bedroom",18,0.0886918
"bedroom",19,0.151786
"bedroom",20,0.151625
"bedroom",21,0.21256
"bedroom",22,0.336683
"bedroom",23,0.395437
"bedroom",24,0.462633
"bedroom",25,0.526316
"bedroom",26,0.567251
"bedroom",27,0.635897
"bedroom",28,0.795226
"bedroom",29,0.70202
"bedroom",30,0.85473
"bee",16,0.176409
"bee",17,0.251825
"bee",18,0.35255
"bee",19,0.488095
"bee",20,0.496403
"bee",21,0.468599
"bee",22,0.59799
"bee",23,0.718631
"bee",24,0.720641
"bee",25,0.74183
"bee",26,0.783626
"bee",27,0.810256
"bee",28,0.924623
"bee",29,0.843434
"bee",30,0.932432
"before",16,0.00104384
"before",17,0
"before",18,0.00665188
"before",19,0.00297619
"before",20,0.0144404
"before",21,0.0289855
"before",22,0.0502513
"before",23,0.0760456
"before",24,0.0778986
"before",25,0.13245
"before",26,0.222222
"before",27,0.170103
"before",28,0.285176
"before",29,0.29798
"before",30,0.402027
"behind",16,0.00521921
"behind",17,0.00729927
"behind",18,0.0243902
"behind",19,0.0297619
"behind",20,0.0577617
"behind",21,0.0628019
"behind",22,0.0904523
"behind",23,0.178707
"behind",24,0.200361
"behind",25,0.264026
"behind",26,0.356725
"behind",27,0.360825
"behind",28,0.492462
"behind",29,0.464646
"behind",30,0.601351
"belly_button",16,0.224426
"belly_button",17,0.30292
"belly_button",18,0.385809
"belly_button",19,0.482143
"belly_button",20,0.537906
"belly_button",21,0.565217
"belly_button",22,0.673367
"belly_button",23,0.726236
"belly_button",24,0.744227
"belly_button",25,0.781046
"belly_button",26,0.824561
"belly_button",27,0.830769
"belly_button",28,0.91206
"belly_button",29,0.828283
"belly_button",30,0.952703
"belt",16,0.0427975
"belt",17,0.040146
"belt",18,0.121951
"belt",19,0.181548
"belt",20,0.198556
"belt",21,0.227053
"belt",22,0.286432
"belt",23,0.357414
"belt",24,0.423971
"belt",25,0.478548
"belt",26,0.532164
"belt",27,0.561856
"belt",28,0.708543
"belt",29,0.590909
"belt",30,0.756757
"bench",16,0.00521921
"bench",17,0.0109489
"bench",18,0.0177384
"bench",19,0.0505952
"bench",20,0.0361011
"bench",21,0.0628019
"bench",22,0.105528
"bench",23,0.121673
"bench",24,0.143376
"bench",25,0.1875
"bench",26,0.22807
"bench",27,0.251282
"bench",28,0.404523
"bench",29,0.368687
"bench",30,0.476351
"beside",16,0.00104384
"beside",17,0
"beside",18,0.00665188
"beside",19,0.00297619
"beside",20,0.0252708
"beside",21,0.0289855
"beside",22,0.0603015
"beside",23,0.0684411
"beside",24,0.0886076
"beside",25,0.128713
"beside",26,0.134503
"beside",27,0.170103
"beside",28,0.217337
"beside",29,0.232323
"beside",30,0.280405
"better",16,0.00730689
"better",17,0.0255474
"better",18,0.059867
"better",19,0.0892857
"better",20,0.104693
"better",21,0.149758
"better",22,0.226131
"better",23,0.250951
"better",24,0.319569
"better",25,0.394737
"better",26,0.520468
"better",27,0.523077
"better",28,0.650754
"better",29,0.575758
"better",30,0.75
"bib",16,0.133612
"bib",17,0.160584
"bib",18,0.301552
"bib",19,0.303571
"bib",20,0.345324
"bib",21,0.352657
"bib",22,0.502513
"bib",23,0.501901
"bib",24,0.579892
"bib",25,0.62623
"bib",26,0.672515
"bib",27,0.625641
"bib",28,0.802764
"bib",29,0.636364
"bib",30,0.760135
"bicycle",16,0.128392
"bicycle",17,0.153285
"bicycle",18,0.288248
"bicycle",19,0.41369
"bicycle",20,0.397112
"bicycle",21,0.497585
"bicycle",22,0.603015
"bicycle",23,0.673004
"bicycle",24,0.689165
"bicycle",25,0.767213
"bicycle",26,0.807018
"bicycle",27,0.840206
"bicycle",28,0.920854
"bicycle",29,0.888889
"bicycle",30,0.959459
"big",16,0.0824635
"big",17,0.10219
"big",18,0.228381
"big",19,0.28869
"big",20,0.350181
"big",21,0.425121
"big",22,0.577889
"big",23,0.638783
"big",24,0.672598
"big",25,0.751634
"big",26,0.859649
"big",27,0.789744
"big",28,0.909548
"big",29,0.818182
"big",30,0.939189
"bird",16,0.474948
"bird",17,0.463504
"bird",18,0.625277
"bird",19,0.667656
"bird",20,0.755396
"bird",21,0.700483
"bird",22,0.80402
"bird",23,0.836502
"bird",24,0.875887
"bird",25,0.915309
"bird",26,0.953216
"bird",27,0.938462
"bird",28,0.973618
"bird",29,0.934343
"bird",30,0.969595
"bite",16,0.135699
"bite",17,0.171533
"bite",18,0.286031
"bite",19,0.360119
"bite",20,0.371841
"bite",21,0.454106
"bite",22,0.592965
"bite",23,0.646388
"bite",24,0.653641
"bite",25,0.734426
"bite",26,0.795322
"bite",27,0.774359
"bite",28,0.908291
"bite",29,0.808081
"bite",30,0.902027
"black",16,0.0219207
"black",17,0.0620438
"black",18,0.0776053
"black",19,0.113095
"black",20,0.140794
"black",21,0.15942
"black",22,0.311558
"black",23,0.368821
"black",24,0.402852
"black",25,0.485246
"black",26,0.526316
"black",27,0.492308
"black",28,0.726131
"black",29,0.661616
"black",30,0.814189
"blanket",16,0.177453
"blanket",17,0.222628
"blanket",18,0.385809
"blanket",19,0.47181
"blanket",20,0.512635
"blanket",21,0.574879
"blanket",22,0.648241
"blanket",23,0.771863
"blanket",24,0.789381
"blanket",25,0.833876
"blanket",26,0.865497
"blanket",27,0.871795
"blanket",28,0.949749
"blanket",29,0.919192
"blanket",30,0.959459
"block",16,0.185804
"block",17,0.218978
"block",18,0.372506
"block",19,0.41369
"block",20,0.451264
"block",21,0.478261
"block",22,0.58794
"block",23,0.65019
"block",24,0.674419
"block",25,0.713355
"block",26,0.760234
"block",27,0.805128
"block",28,0.90201
"block",29,0.79798
"block",30,0.932432
"blow",16,0.0720251
"blow",17,0.0547445
"blow",18,0.172949
"blow",19,0.246291
"blow",20,0.267148
"blow",21,0.275362
"blow",22,0.432161
"blow",23,0.448669
"blow",24,0.564831
"blow",25,0.639344
"blow",26,0.701754
"blow",27,0.685567
"blow",28,0.863065
"blow",29,0.69697
"blow",30,0.858108
"blue",16,0.0876827
"blue",17,0.135036
"blue",18,0.230599
"blue",19,0.303571
"blue",20,0.309353
"blue",21,0.371981
"blue",22,0.522613
"blue",23,0.551331
"blue",24,0.649466
"blue",25,0.698052
"blue",26,0.695906
"blue",27,0.738462
"blue",28,0.871859
"blue",29,0.79798
"blue",30,0.908784
"boat",16,0.177453
"boat",17,0.218978
"boat",18,0.399113
"boat",19,0.470238
"boat",20,0.517986
"boat",21,0.507246
"boat",22,0.678392
"boat",23,0.730038
"boat",24,0.758007
"boat",25,0.797386
"boat",26,0.847953
"boat",27,0.85641
"boat",28,0.952261
"boat",29,0.863636
"boat",30,0.952703
"book",16,0.521921
"book",17,0.521898
"book",18,0.713969
"book",19,0.804154
"book",20,0.827338
"book",21,0.792271
"book",22,0.819095
"book",23,0.923954
"book",24,0.911504
"book",25,0.928571
"book",26,0.935673
"book",27,0.958974
"book",28,0.982412
"book",29,0.949495
"book",30,0.969595
"boots",16,0.0970772
"boots",17,0.138686
"boots",18,0.261641
"boots",19,0.3125
"boots",20,0.42446
"boots",21,0.454106
"boots",22,0.58794
"boots",23,0.65019
"boots",24,0.657194
"boots",25,0.691558
"boots",26,0.701754
"boots",27,0.769231
"boots",28,0.856784
"boots",29,0.838384
"boots",30,0.881757
"bottle",16,0.420668
"bottle",17,0.357664
"bottle",18,0.492239
"bottle",19,0.534125
"bottle",20,0.581227
"bottle",21,0.603865
"bottle",22,0.698492
"bottle",23,0.711027
"bottle",24,0.741135
"bottle",25,0.782468
"bottle",26,0.865497
"bottle",27,0.835052
"bottle",28,0.922111
"bottle",29,0.858586
"bottle",30,0.925676
"bowl",16,0.107516
"bowl",17,0.120438
"bowl",18,0.259424
"bowl",19,0.333333
"bowl",20,0.350181
"bowl",21,0.410628
"bowl",22,0.492462
"bowl",23,0.581749
"bowl",24,0.638298
"bowl",25,0.718033
"bowl",26,0.748538
"bowl",27,0.764103
"bowl",28,0.889447
"bowl",29,0.80303
"bowl",30,0.945946
"box",16,0.11691
"box",17,0.171533
"box",18,0.279379
"box",19,0.363095
"box",20,0.386282
"box",21,0.429952
"box",22,0.547739
"box",23,0.612167
"box",24,0.654867
"box",25,0.727869
"box",26,0.766082
"box",27,0.830769
"box",28,0.88191
"box",29,0.848485
"box",30,0.922297
"boy",16,0.0782881
"boy",17,0.116788
"boy",18,0.221729
"boy",19,0.31454
"boy",20,0.31769
"boy",21,0.371981
"boy",22,0.457286
"boy",23,0.562738
"boy",24,0.59319
"boy",25,0.652459
"boy",26,0.766082
"boy",27,0.764103
"boy",28,0.854271
"boy",29,0.80303
"boy",30,0.898649
"bread",16,0.147182
"bread",17,0.138686
"bread",18,0.299335
"bread",19,0.379822
"bread",20,0.407942
"bread",21,0.478261
"bread",22,0.58794
"bread",23,0.638783
"bread",24,0.700885
"bread",25,0.787582
"bread",26,0.783626
"bread",27,0.835897
"bread",28,0.928392
"bread",29,0.90404
"bread",30,0.942568
"break",16,0.0208768
"break",17,0.0291971
"break",18,0.0909091
"break",19,0.127976
"break",20,0.191336
"break",21,0.217391
"break",22,0.39196
"break",23,0.471483
"break",24,0.493761
"break",25,0.575658
"break",26,0.707602
"break",27,0.639175
"break",28,0.835427
"break",29,0.747475
"break",30,0.898649
"breakfast",16,0.0563674
"breakfast",17,0.0766423
"breakfast",18,0.146341
"breakfast",19,0.208333
"breakfast",20,0.252708
"breakfast",21,0.318841
"breakfast",22,0.427136
"breakfast",23,0.494297
"breakfast",24,0.543828
"breakfast",25,0.629508
"breakfast",26,0.608187
"breakfast",27,0.687179
"breakfast",28,0.824121
"breakfast",29,0.782828
"breakfast",30,0.868243
"bring",16,0.0187891
"bring",17,0.0328467
"bring",18,0.0665188
"bring",19,0.104167
"bring",20,0.111913
"bring",21,0.169082
"bring",22,0.201005
"bring",23,0.338403
"bring",24,0.342199
"bring",25,0.444079
"bring",26,0.51462
"bring",27,0.502564
"bring",28,0.678392
"bring",29,0.606061
"bring",30,0.743243
"broken",16,0.0386221
"broken",17,0.0583942
"broken",18,0.133038
"broken",19,0.20178
"broken",20,0.285199
"broken",21,0.318841
"broken",22,0.492462
"broken",23,0.585551
"broken",24,0.611702
"broken",25,0.677632
"broken",26,0.789474
"broken",27,0.731959
"broken",28,0.888191
"broken",29,0.808081
"broken",30,0.925676
"broom",16,0.0939457
"broom",17,0.10219
"broom",18,0.175166
"broom",19,0.27381
"broom",20,0.274368
"broom",21,0.352657
"broom",22,0.422111
"broom",23,0.51711
"broom",24,0.561279
"broom",25,0.629508
"broom",26,0.690058
"broom",27,0.71134
"broom",28,0.835427
"broom",29,0.727273
"broom",30,0.851351
"brother",16,0.0751566
"brother",17,0.131387
"brother",18,0.148559
"brother",19,0.181548
"brother",20,0.184116
"brother",21,0.251208
"brother",22,0.266332
"brother",23,0.342205
"brother",24,0.354724
"brother",25,0.391447
